"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
15.829,-0.033403,0,2.6502,-0.90047,0
15.85,-0.047619,0,2.7007,-0.85134,0
15.882,-0.058827,0,2.751,-0.80213,0
15.927,-0.060734,0,2.8014,-0.75329,0
15.984,-0.044617,0,2.8514,-0.70378,0
16.056,-0.00065392,0,2.9005,-0.65298,0
16.113,0.11033,0,2.9498,-0.60041,0
15.808,-0.0077677,0,2.55,-1,0
15.806,-0.016332,0,2.55,-0.95,0
15.815,-0.031383,0,2.6002,-0.90054,0
15.832,-0.04938,0,2.6508,-0.85136,0
15.859,-0.067778,0,2.7015,-0.80261,0
15.902,-0.082076,0,2.7519,-0.75344,0
15.962,-0.084043,0,2.8019,-0.70491,0
16.041,-0.061412,0,2.8512,-0.65445,0
16.14,0.0024924,0,2.8995,-0.6031,0
16.213,0.16819,0,2.9493,-0.55048,0
15.801,-0.0056265,0,2.5,-1,0
15.798,-0.011823,0,2.5,-0.95,0
15.803,-0.026406,0,2.5502,-0.90052,0
15.814,-0.046304,0,2.601,-0.85164,0
15.836,-0.07019,0,2.6519,-0.80264,0
15.872,-0.09455,0,2.7028,-0.75395,0
15.928,-0.11329,0,2.7532,-0.70557,0
16.01,-0.11659,0,2.8022,-0.65622,0
16.119,-0.085904,0,2.8502,-0.6052,0
16.26,0.011878,0,2.8986,-0.55315,0
16.344,0.25875,0,2.9483,-0.50059,0
15.796,-0.0030149,0,2.45,-1,0
15.793,-0.0063145,0,2.45,-0.95,0
15.794,-0.019081,0,2.5,-0.9,0
15.799,-0.038969,0,2.5512,-0.85159,0
15.812,-0.065819,0,2.6023,-0.80262,0
15.84,-0.097838,0,2.6536,-0.754,0
15.888,-0.13131,0,2.7045,-0.70535,0
15.962,-0.1582,0,2.7535,-0.65655,0
16.075,-0.16598,0,2.801,-0.60685,0
16.23,-0.11986,0,2.849,-0.55546,0
16.422,0.027745,0,2.8972,-0.50356,0
16.536,0.41267,0,2.9472,-0.45095,0
15.795,-0.00016747,0,2.4,-1,0
15.792,-0.00032069,0,2.4,-0.95,0
15.788,-0.010056,0,2.45,-0.9,0
15.787,-0.028056,0,2.5011,-0.85139,0
15.792,-0.055216,0,2.5527,-0.80271,0
15.81,-0.091551,0,2.6047,-0.7543,0
15.844,-0.13552,0,2.6561,-0.70574,0
15.906,-0.18243,0,2.7051,-0.65686,0
16.007,-0.22379,0,2.7528,-0.60768,0
16.163,-0.23735,0,2.7997,-0.55721,0
16.381,-0.17615,0,2.8468,-0.50622,0
16.711,0.07603,0,2.8953,-0.45452,0
16.937,0.72223,0,2.9458,-0.40206,0
15.796,0.0026885,0,2.35,-1,0
15.793,0.0056388,0,2.35,-0.95,0
15.786,-0.00030099,0,2.4,-0.9,0
15.779,-0.014739,0,2.4505,-0.85079,0
15.777,-0.039753,0,2.503,-0.80263,0
15.783,-0.076877,0,2.5553,-0.75416,0
15.802,-0.12705,0,2.6074,-0.70558,0
15.846,-0.18776,0,2.6572,-0.65709,0
15.927,-0.2562,0,2.7048,-0.60815,0
16.06,-0.31989,0,2.7511,-0.55826,0
16.278,-0.35104,0,2.7973,-0.50814,0
16.689,-0.2416,0,2.8437,-0.4574,0
17.353,0.22912,0,2.8924,-0.40606,0
17.361,1.2198,0,2.9429,-0.35358,0
15.8,0.0053235,0,2.3,-1,0
15.788,0.0093802,0,2.3498,-0.89948,0
15.798,0.011087,0,2.3,-0.95,0
15.777,-0.00035832,0,2.4001,-0.85041,0
15.768,-0.021092,0,2.453,-0.80243,0
15.763,-0.055735,0,2.5064,-0.75411,0
15.767,-0.10662,0,2.5589,-0.70579,0
15.789,-0.1748,0,2.609,-0.6571,0
15.843,-0.26171,0,2.657,-0.60817,0
15.945,-0.36229,0,2.7034,-0.5591,0
16.12,-0.46693,0,2.7484,-0.50916,0
16.55,-0.51596,0,2.7935,-0.45925,0
17.379,-0.3058,0,2.8398,-0.40925,0
17.933,0.43449,0,2.8867,-0.35921,0
17.275,1.5466,0,2.935,-0.30588,0
15.807,0.0075391,0,2.25,-1,0
15.78,0.013862,0,2.3493,-0.84974,0
15.794,0.018096,0,2.2996,-0.89932,0
15.806,0.015653,0,2.25,-0.95,0
15.765,-0.00092948,0,2.4024,-0.80197,0
15.75,-0.030253,0,2.457,-0.75395,0
15.74,-0.077401,0,2.5103,-0.70583,0
15.741,-0.14573,0,2.5607,-0.65713,0
15.765,-0.2409,0,2.6096,-0.60819,0
15.826,-0.36525,0,2.6561,-0.55909,0
15.946,-0.5209,0,2.7005,-0.5096,0
16.295,-0.68909,0,2.7448,-0.46017,0
17.185,-0.77901,0,2.7891,-0.41081,0
17.957,-0.4894,0,2.8331,-0.36236,0
17.752,0.31483,0,2.8749,-0.31638,0
16.637,2.2365,0,2.956,-0.26581,0
15.816,0.009222,0,2.2,-1,0
15.768,0.01907,0,2.3511,-0.80107,0
15.787,0.026627,0,2.2989,-0.84889,0
15.803,0.025157,0,2.2498,-0.89948,0
15.815,0.019098,0,2.2,-0.95,0
15.747,-0.003031,0,2.4072,-0.7538,0
15.724,-0.04268,0,2.4616,-0.70587,0
15.706,-0.10522,0,2.513,-0.65728,0
15.701,-0.19806,0,2.5618,-0.60823,0
15.72,-0.32937,0,2.6088,-0.55911,0
